TransactionID,CustID,Employee,ProductID,ProductName,VendorID,ProductVendor,UnitPrice,Quantity,Subtotal,OrderTotal
10258,1,Nancy Davolio,32,Mascarpone Fabioli,14,Formaggi Fortini s.r.l.,25.6,6,153.6,165.89
10275,2,Nancy Davolio,24,Guaran Fantstica,10,Refrescos Americanas LTDA,3.6,12,43.2,46.66
10275,2,Nancy Davolio,59,Raclette Courdavault,28,Gai pturage,44.0,6,264.0,285.12
10292,3,Nancy Davolio,20,Sir Rodney's Marmalade,8,"Specialty Biscuits, Ltd.",64.8,20,1296.0,1399.68
10293,4,Nancy Davolio,18,Carnarvon Tigers,7,"Pavlova, Ltd.",50.0,12,600.0,648.0
10293,4,Nancy Davolio,24,Guaran Fantstica,10,Refrescos Americanas LTDA,3.6,10,36.0,38.88
10293,4,Nancy Davolio,63,Vegie-spread,7,"Pavlova, Ltd.",35.1,5,175.5,189.54
10293,4,Nancy Davolio,75,Rhnbru Klosterbier,12,Plutzer Lebensmittelgromrkte AG,6.2,6,37.2,40.18
10304,4,Nancy Davolio,59,Raclette Courdavault,28,Gai pturage,44.0,10,440.0,475.2
10304,4,Nancy Davolio,71,Flotemysost,15,Norske Meierier,17.2,2,34.4,37.15
10306,5,Nancy Davolio,30,Nord-Ost Matjeshering,13,Nord-Ost-Fisch Handelsgesellschaft mbH,20.7,10,207.0,223.56
10306,5,Nancy Davolio,53,Perth Pasties,24,"G'day, Mate",26.2,10,262.0,282.96
10306,5,Nancy Davolio,54,Tourtire,25,Ma Maison,5.9,5,29.5,31.86
10311,6,Nancy Davolio,42,Singaporean Hokkien Fried Mee,20,Leka Trading,11.2,6,67.2,72.58
10311,6,Nancy Davolio,69,Gudbrandsdalsost,15,Norske Meierier,28.8,7,201.6,217.73
10316,7,Nancy Davolio,41,Jack's New England Clam Chowder,19,New England Seafood Cannery,7.7,10,77.0,83.16
10325,8,Nancy Davolio,6,Grandma's Boysenberry Spread,3,Grandma Kelly's Homestead,20.0,6,120.0,129.6
10325,8,Nancy Davolio,13,Konbu,6,Mayumi's,4.8,12,57.6,62.21
10325,8,Nancy Davolio,14,Tofu,6,Mayumi's,18.6,9,167.4,180.79
10325,8,Nancy Davolio,31,Gorgonzola Telino,14,Formaggi Fortini s.r.l.,10.0,4,40.0,43.2
10340,9,Nancy Davolio,18,Carnarvon Tigers,7,"Pavlova, Ltd.",50.0,20,1000.0,1080.0
